sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
P0318,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680150316,
P0568,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680150431,
P0881,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680152100,
P0631,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680152287,
P0319,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680153204,
P0569,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680154892,
P0882,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680155841,
P0632,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680156073,
P0320,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680157143,
P0570,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680159152,
P0883,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680159627,
P0633,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680159951,
P0321,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680160889,
P0884,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680163433,
P0571,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680163588,
P0634,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680163791,
P0322,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680165454,
P0885,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680167201,
P0572,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680167371,
P0635,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680167554,
P0323,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680169848,
P0886,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680170191,
P0573,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680171928,
P0636,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680172290,
P0887,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680173199,
P0324,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680174698,
P0574,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680175735,
P0637,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680176728,
P0888,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680177530,
P0325,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680179065,
P0575,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680179602,
P0889,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680180507,
P0638,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680181558,
P0326,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680182876,
P0576,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680183969,
P0890,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680184237,
P0639,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680185354,
P0327,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680186742,
P0891,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680187133,
P0577,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680187892,
P0640,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680189179,
P0892,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680190996,
P0328,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680191125,
P0578,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680192624,
P0641,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680194023,
P0893,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680195550,
P0579,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680195761,
P0329,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680195841,
P0642,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680198356,
P0894,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680199630,
P0580,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680199809,
P0330,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680200640,
P0643,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680202334,
P0895,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680204076,
P0581,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680204574,
P0331,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680205239,
P0644,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680206463,
P0896,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680208143,
P0582,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680208495,
P0645,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680209748,
P0332,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680210192,
P0583,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680211702,
P0897,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680212172,
P0646,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680213936,
P0584,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680214911,
P0333,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680215292,
P0898,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680216977,
P0585,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680218885,
P0647,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680218956,
P0334,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680219988,
P0899,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680221891,
P0335,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680222986,
P0648,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680222998,
P0586,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680223651,
P0900,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680225865,
P0336,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680226065,
P0587,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680227733,
P0649,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680228112,
P0901,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680231278,
P0337,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680231657,
P0588,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680233137,
P0650,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680233688,
P0338,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680237849,
P0902,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680237854,
P0589,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680238734,
P0651,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680239376,
P0339,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680242573,
P0903,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680244844,
P0590,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680245345,
P0652,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680246294,
P0340,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680248793,
P0591,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680252437,
P0904,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680252465,
P0653,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680252842,
P0341,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680256775,
P0654,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680257673,
P0592,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680258512,
P0905,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680259356,
P0342,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680264174,
P0906,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680265615,
P0655,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680265665,
P0593,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680265995,
P0343,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680269624,
P0656,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680269674,
P0907,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680272254,
P0594,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680272742,
P0657,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680273569,
P0344,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680275788,
P0595,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680277004,
P0908,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680278815,
P0658,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680279702,
P0345,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680280894,
P0596,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680282207,
P0909,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680284050,
P0659,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680284839,
P0346,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680287112,
P0597,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680287674,
P0910,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680290746,
P0347,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680291606,
P0660,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680291729,
P0598,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680294005,
P0661,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680295884,
P0348,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680295904,
P0911,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680297481,
P0599,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680299529,
P0349,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680299994,
P0662,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680302472,
P0912,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680304239,
P0350,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680304274,
P0600,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680305735,
P0663,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680307929,
P0913,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680308319,
P0351,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680308349,
P0601,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680312604,
P0352,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680312684,
P0914,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680314499,
P0664,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680316163,
P0353,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680318029,
P0602,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680321426,
P0665,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680321715,
P0915,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680323894,
P0354,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680327450,
P0666,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680328731,
P0603,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680330044,
P0916,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680332918,
P0355,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680336936,
P0604,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680337566,
P0667,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680337651,
P0917,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680338979,
P0668,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680341840,
P0356,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680342629,
P0605,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680345749,
P0918,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680346003,
P0669,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680348618,
P0357,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680349443,
P0606,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680349983,
P0919,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680353263,
P0670,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680353586,
P0358,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680355997,
P0607,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680356633,
P0920,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680359218,
P0671,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680360381,
P0359,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680361704,
P0608,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680362301,
P0921,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680365068,
P0609,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680366561,
P0672,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680367550,
